         gisjoin           tract_id City State stateabbr statedesc countyname placename                  placefips place_tractid
nbr.val       NA  1.58820000000e+04   NA    NA        NA        NA         NA        NA         15058.000000000000            NA
nbr.null      NA  0.00000000000e+00   NA    NA        NA        NA         NA        NA             0.000000000000            NA
nbr.na        NA  0.00000000000e+00   NA    NA        NA        NA         NA        NA           824.000000000000            NA
min           NA 5.30132487394e-315   NA    NA        NA        NA         NA        NA         15003.000000000000            NA
max           NA 2.72127342952e-313   NA    NA        NA        NA         NA        NA       5553000.000000000000            NA
range         NA 2.66826018078e-313   NA    NA        NA        NA         NA        NA       5537997.000000000000            NA
sum           NA 2.18031061219e-309   NA    NA        NA        NA         NA        NA   42233039762.000000000000            NA
median        NA 1.58115846524e-313   NA    NA        NA        NA         NA        NA       3260600.000000000000            NA
mean          NA 1.37281867029e-313   NA    NA        NA        NA         NA        NA       2804691.178244122770            NA
SE.mean       NA  0.00000000000e+00   NA    NA        NA        NA         NA        NA         13228.471679999062            NA
CI.mean       NA  0.00000000000e+00   NA    NA        NA        NA         NA        NA         25929.412409634813            NA
var           NA  0.00000000000e+00   NA    NA        NA        NA         NA        NA 2635036507681.393554687500            NA
std.dev       NA  0.00000000000e+00   NA    NA        NA        NA         NA        NA       1623279.553152011242            NA
coef.var      NA  0.00000000000e+00   NA    NA        NA        NA         NA        NA             0.578773009215            NA
                   access2015        arthritis2015            binge2015          bphigh2015             bpmed2015          cancer2015
nbr.null      0.0000000000000     0.00000000000000      0.0000000000000      0.0000000000000      0.0000000000000      0.0000000000000
nbr.na      316.0000000000000   316.00000000000000    316.0000000000000    316.0000000000000    316.0000000000000    316.0000000000000
min           8.5000000000000     0.50000000000000      7.0999999046326      5.1999998092651      9.8000001907349      3.5000000000000
max          57.7000007629395    12.00000000000000     62.0999984741211     29.3999996185303     56.4000015258789     35.7999992370605
range        49.2000007629395    11.50000000000000     54.9999985694885     24.1999998092652     46.6000013351440     32.2999992370605
sum      536886.9997978212778 47357.89995920658112 409273.4999713899451 206229.6000647544861 471672.4997024538461 201303.7999892234802
median       34.9000015258789     2.90000009536743     25.5000000000000     12.8999996185303     29.3999996185303     12.3999996185303
mean         34.4910060258140     3.04239367590946     26.2927855564300     13.2487215768184     30.3014582874505     12.9322754714907
SE.mean       0.0414522212738     0.00804965503429      0.0770440249035      0.0280487206297      0.0693849554978      0.0349890204414
CI.mean       0.0812511790174     0.01577826090185      0.1510152572598      0.0549787574962      0.1360025896568      0.0685825530252
var          26.7468499710802     1.00862926409950     92.3963790836732     12.2462505270283     74.9389587215055     19.0563883298234
std.dev       5.1717356826389     1.00430536397029      9.6123035264016      3.4994643200108      8.6567291006191      4.3653623366020
coef.var      0.1499444718652     0.33010368510909      0.3655871115585      0.2641359998186      0.2856868807599      0.3375556255529
                    sleep2016          stroke2016           access2017        arthritis2017            binge2017           bphigh2017
nbr.val   15566.0000000000000 15566.0000000000000  15566.0000000000000  15566.0000000000000  15566.0000000000000  15566.0000000000000
nbr.null      0.0000000000000     0.0000000000000      0.0000000000000      0.0000000000000      0.0000000000000      0.0000000000000
nbr.na      316.0000000000000   316.0000000000000    316.0000000000000    316.0000000000000    316.0000000000000    316.0000000000000
min          20.8999996185303     0.2000000029802      2.4000000953674      2.4000000953674      2.7999999523163      6.1999998092651
max          58.7000007629395    21.3999996185303     57.7999992370606     53.7000007629395     44.0999984741211     70.3000030517578
range        37.8000011444092    21.1999996155501     55.3999991416932     51.3000006675721     41.2999985218048     64.1000032424927
sum      585382.2999668123666 51911.4999578744173 276187.2000935078249 326133.4999978543492 284840.2999877930270 480692.1998167040292
median       37.2000007629395     3.0000000000000     15.6999998092651     20.5000000000000     17.7999992370605     29.6000003814697
mean         37.6064692256721     3.3349286880300     17.7429782920152     20.9516574584257     18.2988757540661     30.8809070934539
SE.mean       0.0497034606185     0.0130992542912      0.0755908289368      0.0470020930733      0.0347363005407      0.0692491033119
CI.mean       0.0974245686333     0.0256760632531      0.1481668240032      0.0921295737873      0.0680871926016      0.1357363035582
var          38.4547756043370     2.6709771468220     88.9437102457043     34.3883566614654     18.7821002143977     74.6457927256343
std.dev       6.2011914665117     1.6343124385570      9.4309973091770      5.8641586490702      4.3338320473223      8.6397796688130
coef.var      0.1648969338041     0.4900591860998      0.5315340611909      0.2798899638707      0.2368359731804      0.2797773926351
                     bpmed2017          cancer2017          casthma2017             chd2017           checkup2017        cholscreen2017
nbr.val    15566.0000000000000 15566.0000000000000  15566.0000000000000 15566.0000000000000   15566.0000000000000   15566.0000000000000
nbr.null       0.0000000000000     0.0000000000000      0.0000000000000     0.0000000000000       0.0000000000000       0.0000000000000
nbr.na       316.0000000000000   316.0000000000000    316.0000000000000   316.0000000000000     316.0000000000000     316.0000000000000
min            9.6000003814697     0.6999999880791      5.6999998092651     0.5000000000000      42.2999992370606      43.5999984741211
max           92.8000030517578    21.2999992370606     17.7999992370605    35.7999992370605      89.5000000000000      94.6999969482422
range         83.2000026702881    20.5999992489815     12.0999994277954    35.2999992370605      47.2000007629394      51.0999984741211
sum      1103759.5001382827759 84411.2000249028206 152863.8000836372375 86979.6000364422798 1080828.0998687744141 1226938.3998756408691
median        72.0000000000000     5.3000001907349      9.5000000000000     5.3000001907349      69.0999984741211      79.5000000000000
mean          70.9083579685393     5.4227932689774      9.8203649032274     5.5877939121446      69.4351856526259      78.8216882870128
SE.mean        0.0618615147037     0.0131356297668      0.0147278073024     0.0169195805277       0.0507348536651       0.0459408724472
CI.mean        0.1212557699206     0.0257473634196      0.0288682167298     0.0331643473886       0.0994462190659       0.0900494578268
var           59.5687004243720     2.6858318800076      3.3763947213499     4.4561131466449      40.0672790093517      32.8530355069891
std.dev        7.7180762126564     1.6388507802749      1.8374968629497     2.1109507684086       6.3298719583694       5.7317567557416
coef.var       0.1088457896047     0.3022152420323      0.1871108539303     0.3777789234175       0.0911623105616       0.0727180155653
                    colon2017            copd2017            corem2017            corew2017         csmoking2017          dental2017
nbr.val   15561.0000000000000 15566.0000000000000  15520.0000000000000  15513.0000000000000  15566.0000000000000  15566.000000000000
nbr.null      0.0000000000000     0.0000000000000      0.0000000000000      0.0000000000000      0.0000000000000      0.000000000000
nbr.na      321.0000000000000   316.0000000000000    362.0000000000000    369.0000000000000    316.0000000000000    316.000000000000
min          29.3999996185303     1.1000000238419     11.8999996185303      9.6000003814697      4.3000001907349     21.899999618530
max          81.5999984741211    23.7999992370606     57.2999992370606     55.0999984741211     46.0999984741211     88.900001525879
range        52.1999988555908    22.6999992132187     45.3999996185303     45.4999980926514     41.7999982833862     67.000001907349
sum      946789.7999057772104 97519.9000600576401 473214.5999889376108 449026.8999395372812 285760.8999772072420 931928.200057983631
median       61.5999984741211     5.8000001907349     30.2000007629395     28.5000000000000     17.5000000000000     60.700000762940
mean         60.8437632482345     6.2649299794461     30.4906314425862     28.9452007954320     18.3580174725175     59.869471929718
